monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity
PI241,*C(C*)O,0,0,0,0,0,0,0
PI242,*C(C*)C=O,0,0,0,0,0,0,0
PI243,*C(C*)OC(=O)CCCCCCCCCCC,0,0,0,0,0,0,0
PI246,*C(C*)C(=O)C,0,0,0,0,0,0,0
PI247,*C(C*)C(=O)C(C)C,0,0,0,0,0,0,0
PI248,*C(C*)(C(=O)C)C,0,0,0,0,0,0,0
PI249,*C(C*)C#N,0,0,0,0,0,0,0
PI250,*C(C*)(C#N)C,0,0,0,0,0,0,0
PI251,*C(C*)c1ncccc1,0,0,0,0,0,0,0
PI252,*C(C*)n1c2ccccc2c2ccccc12,0,0,0,0,0,0,0
PI253,*C(C*)OC,0,0,0,0,0,0,0
PI254,*C(C*)OCC,0,0,0,0,0,0,0
PI259,*C(C*)OC(=O)C,0,0,0,0,0,0,0
PI260,*C(C*)OC(=O)CC,0,0,0,0,0,0,0
PI261,*C(C*)OC(=O)c1ccccc1,0,0,0,0,0,0,0
PI263,*C(C*)CCCCCCCCCO,0,0,0,0,0,0,0
PI264,*C(C*)CCN(C(C)C)C(C)C,0,0,0,0,0,0,0
PI265,*C(C*)CCCN(C(C)C)C(C)C,0,0,0,0,0,0,0
PI266,*C(C*)CCCN(CC(C)C)CC(C)C,0,0,0,0,0,0,0
PI267,*C(C*)O[N+](=O)[O-],0,0,0,0,0,0,0
PI268,*C=CC(C(*)C(=O)OC)C,0,0,0,0,0,0,0
PI269,*C#C/C(=C(*)\COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,0,0,0,0,0,0,0
PI270,*C(C*)OC=O,0,0,0,0,0,0,0
PI271,*C(C*)OCc1ccccc1,0,0,0,0,0,0,0
PI272,*C(C*)OC(C)(C)C,0,0,0,0,0,0,0
PI273,*C(C(*)OCC(C)C)C,0,0,0,0,0,0,0
PI274,*C(C*)OC(C)C,0,0,0,0,0,0,0
PI275,*C(C*)(OC)C,0,0,0,0,0,0,0
PI276,*C(C*)OCC(C)(C)C,0,0,0,0,0,0,0
PI277,*C(C*)OC(CC)C,0,0,0,0,0,0,0
PI278,*C(C*)OC(=O)C(F)(F)F,0,0,0,0,0,0,0
PI279,*/C=C/C(C*)OC,0,0,0,0,0,0,0
PI280,*C=CCC(CC*)(C(=O)OC)C,0,0,0,0,0,0,0
PI281,*C(C*)CCc1c(cccc1)C,0,0,0,0,0,0,0
PI282,*C(C*)CCc1ccc(cc1)C,0,0,0,0,0,0,0
PI283,*C(C*)OCCCCCCCCCCCC,0,0,0,0,0,0,0
PI284,*C(C(*)OCCCC)C,0,0,0,0,0,0,0
PI285,*C(C(*)OC(C)(C)C)C,0,0,0,0,0,0,0
PI286,*C(C(*)OCC)C,0,0,0,0,0,0,0
PI287,*C(C(*)OC(C)C)C,0,0,0,0,0,0,0
PI288,*C(C(*)OC)C,0,0,0,0,0,0,0
PI289,*C(C(*)OCCC)C,0,0,0,0,0,0,0
PI291,*C(C*)Cc1c(ccc(c1)C)C,0,0,0,0,0,0,0
PI292,*C(C*)Cc1cc(c(cc1)C)C,0,0,0,0,0,0,0
PI293,*C(C*)Cc1cc(cc(c1)C)C,0,0,0,0,0,0,0
PI294,*C(C*)Cc1cc(ccc1)C,0,0,0,0,0,0,0
PI295,*C(C*)Cc1c(cccc1)C,0,0,0,0,0,0,0
PI296,*C(C*)Cc1ccc(cc1)C,0,0,0,0,0,0,0
PI297,*C(C(*)O)C,0,0,0,0,0,0,0
PI298,*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,0,0,0,0,0,0,0
PI299,*C(C*)C(=O)C(C)(C)C,0,0,0,0,0,0,0
PI300,*C(C*)C(=O)C1CCCCC1,0,0,0,0,0,0,0
PI302,*C(C*)C(=O)c1c(cccc1)O,0,0,0,0,0,0,0
PI303,*C=CC(C*)OC,0,0,0,0,0,0,0
PI304,*C(=CCC*)c1ccccc1,0,0,0,0,0,0,0
PI305,*C(O)C(*)O,0,0,0,0,0,0,0
PI306,*C(C*)OCC(CCCC)CC,0,0,0,0,0,0,0
PI307,*C(C*)SCCCC,0,0,0,0,0,0,0
PI308,*C(C*)OC1CCCCC1,0,0,0,0,0,0,0
PI309,*C(C*)SCC,0,0,0,0,0,0,0
PI311,*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,0,0,0,0,0,0,0
PI312,*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,0,0,0,0,0,0,0
PI314,*C(C(*)F)(OC(F)(F)F)F,0,0,0,0,0,0,0
PI315,*C(C(*)(F)F)(OC(F)(F)F)F,0,0,0,0,0,0,0
PI316,*C(C*)OCC(CC)(C)C,0,0,0,0,0,0,0
PI317,*C(C*)SC,0,0,0,0,0,0,0
PI319,*C(C*)OCCC,0,0,0,0,0,0,0
PI320,*C(C*)(C(=O)C)F,0,0,0,0,0,0,0
PI321,*C(C*)C(=O)c1ccccc1,0,0,0,0,0,0,0
PI322,*C(C*)C(=O)c1cc(c(cc1)Br)OC,0,0,0,0,0,0,0
PI323,*C(C*)C(=O)c1ccc(cc1)C(C)(C)C,0,0,0,0,0,0,0
PI324,*C(C*)C(=O)c1ccc(cc1)Cl,0,0,0,0,0,0,0
PI325,*C(C*)C(=O)c1ccc(cc1)CC,0,0,0,0,0,0,0
PI326,*C(C*)C(=O)c1ccc(cc1)C(C)C,0,0,0,0,0,0,0
PI327,*C(C*)C(=O)c1ccc(cc1)OC,0,0,0,0,0,0,0
PI328,*C(C*)C(=O)c1cc(c(cc1)C)C,0,0,0,0,0,0,0
PI329,*C(C*)C(=O)c1ccc(cc1)CCC,0,0,0,0,0,0,0
PI330,*C(C*)C(=O)c1ccc(cc1)C,0,0,0,0,0,0,0
PI331,*C(C*)OC(=O)c1c(cccc1)OC(=O)C,0,0,0,0,0,0,0
PI332,*C(C*)OC(=O)c1ccc(cc1)OC(=O)C,0,0,0,0,0,0,0
PI333,*C(C*)OC(=O)CCCC(=O)c1ccccc1,0,0,0,0,0,0,0
PI334,*C(C*)OC(=O)c1cc(ccc1)Br,0,0,0,0,0,0,0
PI335,*C(C*)OC(=O)c1ccc(cc1)Br,0,0,0,0,0,0,0
PI336,*C(C*)OC(=O)c1ccc(cc1)OC(=O)CCC,0,0,0,0,0,0,0
PI337,*C(C*)OC(=O)c1c(cccc1)Cl,0,0,0,0,0,0,0
PI338,*C(C*)OC(=O)c1cc(ccc1)Cl,0,0,0,0,0,0,0
PI339,*C(C*)OC(=O)c1ccc(cc1)Cl,0,0,0,0,0,0,0
PI340,*C(C*)OC(=O)C1CCCCC1,0,0,0,0,0,0,0
PI341,*C(C*)OC(=O)CC1CCCCC1,0,0,0,0,0,0,0
PI342,*C(C*)OC(=O)CCCC1CCCCC1,0,0,0,0,0,0,0
PI343,*C(C*)OC(=O)c1ccc(cc1)OCC,0,0,0,0,0,0,0
PI344,*C(C*)OC(=O)c1ccc(cc1)CC,0,0,0,0,0,0,0
PI346,*C(C*)OC(=O)C(C(C(F)(F)F)(F)F)(F)F,0,0,0,0,0,0,0
PI347,*C(C*)OC(=O)C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)F,0,0,0,0,0,0,0
PI348,*C(C*)NC(=O)OC(C)(C)C,0,0,0,0,0,0,0
