monomer_ID,smiles,density,self-diffusion,Cp,bulk_modulus,linear_expansion,refractive_index,thermal_conductivity,polymer_class
PI425,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCC,0.89196107,1.83e-12,4385.154735,2504860274.0,0.000180674,1.449872281,0.332315444,4
PI426,*C(C*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,0.884876752,1.72e-12,4400.566011,2593715894.0,0.000174825,1.445512087,0.358016945,4
PI427,*C(C*)C(=O)OCC=C,1.087141868,9.83e-13,3360.001121,2577645210.0,0.000181191,1.495105416,0.263380595,4
PI428,*C(C*)C(=O)OC1C2(CCC(C1)C2(C)C)C,0.986288422,7.09e-13,3592.068263,2753091642.0,8.35e-05,1.44980261,0.208176754,4
PI429,*C(C*)C(=O)OCC(F)(F)F,1.418541441,6.83e-13,2380.825641,3166527441.0,0.000119798,1.394285931,0.164710423,4
PI430,*C(C*)C(=O)OCC(C(F)(F)F)(F)F,1.493383044,8.61e-13,2245.726364,2387095450.0,0.000161832,1.368996609,0.143562058,4
PI431,*C(C*)C(=O)OC(C(F)(F)F)C(F)(F)F,1.536822752,8.59e-13,2041.340646,2304416596.0,0.000127428,1.347178504,0.132233355,4
PI432,*C(C*)C(=O)OC(C(F)(F)F)(C(F)(F)F)F,1.597661628,7.42e-13,1919.286325,2046884719.0,0.000136926,1.335161928,0.115357789,4
PI435,*C(C*)C(=O)OCC(C(F)C(F)(F)F)(F)F,1.535446377,7.17e-13,2238.601879,3010873642.0,0.000144079,1.374380245,0.149880398,4
PI436,*C(C*)C(=O)OCC(C(C(F)(F)F)(F)F)(F)F,1.563652716,9.29e-13,2185.700505,2279544936.0,0.000200725,1.35374993,0.134586462,4
PI437,*C(C*)(C(=O)OC)C,1.033055843,4.54e-13,3332.915937,2738743229.0,4.96e-05,1.435813493,0.214253377,4
PI438,*C(C*)(C(=O)OCC)C,0.990367795,6.81e-13,3523.717173,2351727356.0,0.000107268,1.428348512,0.214601581,4
PI439,*CC(*)(C)C(=O)OCCC,0.989428412,6.02e-13,3629.456323,2186132752.0,0.000145264,1.437955137,0.217185653,4
PI440,*CC(*)(C)C(=O)OC(C)C,0.953690368,4.46e-13,3484.847274,2142592716.0,9.75e-05,1.423699985,0.212297791,4
PI441,*C(C*)(C(=O)OCCCC)C,0.977791197,1.01e-12,3859.802486,2090120515.0,0.000203454,1.442170323,0.223797866,4
PI442,*CC(*)(C)C(=O)OC(C)CC,0.946334214,6.24e-13,3681.087003,2145882837.0,9.01e-05,1.426980635,0.219748019,4
PI443,*CC(*)(C)C(=O)OCC(C)C,0.96194342,7.59e-13,3757.563752,2447415565.0,0.000125372,1.436068531,0.211663838,4
PI444,*CC(*)(C)C(=O)OC(C)(C)C,0.912409902,1.07e-12,3717.043541,1681763097.0,4.09e-05,1.409693587,0.199032877,4
PI445,*CC(*)(C)C(=O)OCCCCCC,0.953772359,1e-12,3892.180874,2566448000.0,0.000135947,1.445627509,0.247136147,4
PI446,*CC(*)(C)C(=O)OCCCCCCCC,0.934650547,1.09e-12,4036.043784,2588451323.0,0.000139935,1.445520129,0.263447418,4
PI447,*CC(*)(C)C(=O)OCCCCCCCCCCCC,0.910290248,1.49e-12,4177.974231,2167101011.0,0.000199548,1.451057244,0.297503097,4
PI448,*CC(*)(C)C(=O)OC1CCCCC1,0.972678461,3.95e-13,3575.948723,2700321441.0,6.33e-05,1.443645063,0.188801438,4
PI449,*CC(*)(C)C(=O)Oc1ccccc1,1.099424256,7.22e-13,3048.284413,2787466475.0,7.84e-05,1.53525243,0.192736665,4
PI450,*CC(*)(C)C(=O)OCc1ccccc1,1.091824545,5.88e-13,3157.157629,3235861146.0,8.8e-05,1.525196849,0.196260903,4
PI451,*CC(*)(C)C(=O)OCCBr,1.508509344,5.22e-13,2315.811119,2716905807.0,0.000173356,1.472619624,0.156664784,4
PI452,*CC(*)(C)C(=O)OCc1ccccc1Cl,1.18896235,6.78e-13,2717.477183,2976795986.0,0.000101225,1.53890123,0.165076796,4
PI453,*CC(*)(C)C(=O)OCCO,1.134422469,5.73e-13,3728.718374,3743484423.0,7.04e-05,1.46141376,0.250973925,4
PI454,*CC(*)(C)C(=O)OCCN(C)C,1.036064242,9.76e-13,3672.015455,2647978860.0,0.000140017,1.469056427,0.241329136,4
PI455,*CC(*)C(N)=O,1.263155414,1.47e-13,3097.224007,7230985891.0,3.79e-05,1.56070446,0.444629702,4
PI456,*CC(*)C(=O)NC(C)C,1.008805527,7.59e-13,3872.144324,2473883014.0,0.000186622,1.47897592,0.262015599,4
PI457,*CC(*)C(=O)OC(CC)CC,0.9720182,1.33e-12,3798.883002,2171098467.0,0.000180312,1.440321234,0.245278243,4
PI458,*CC(*)C(=O)OC1CCCCC1,1.016583768,5.67e-13,3451.938416,3097275248.0,9.54e-05,1.452690784,0.215312167,4
PI459,*CC(*)C(=O)OCC(C)(C)C,0.963513972,1.08e-12,3659.584118,2687750528.0,0.000121251,1.437282739,0.235321696,4
PI460,*CC(*)C(=O)OCCC#N,1.158051852,2.15e-13,2881.565948,5118664504.0,8.03e-05,1.479981809,0.249017898,4
PI461,*CC(*)C(=O)N1CCCCC1,1.040542744,7.36e-13,3698.870489,3190480132.0,8.48e-05,1.490339193,0.224880389,4
PI462,*CC(*)C(=O)N1CCOCC1,1.139923204,5.91e-13,3428.683663,3566676698.0,7.54e-05,1.49783536,0.212390136,4
PI463,*CC(*)C(=O)Oc1ccccc1,1.159695123,4.9e-13,2874.836916,3508343325.0,9.41e-05,1.562050473,0.204691395,4
PI464,*CC(*)C(=O)Oc1ccc(OC)cc1,1.172544176,8.94e-13,3163.520465,2795821864.0,0.000163855,1.551294002,0.230448188,4
PI465,*CC(*)C(=O)Oc1ccccc1C(=O)OC,1.217023565,4.45e-13,2801.940827,3540168395.0,0.000103544,1.540072509,0.219785117,4
